X,pmutation,profit,weight,n,optimal_difference,optimal_value,contraint_met,pop_size,pcrossover,fitnessCalls
1,0.08,12137,19451,100,1,12137,1,100,0.51,41271
2,0.08,12137,19451,100,1,12137,1,100,0.51,48934
3,0.08,12137,19451,100,1,12137,1,100,0.51,49042
4,0.08,12137,19451,100,1,12137,1,100,0.51,32642
5,0.08,12137,19451,100,1,12137,1,100,0.51,33823
6,0.08,12137,19451,100,1,12137,1,100,0.51,41723
7,0.08,12137,19451,100,1,12137,1,100,0.51,27219
8,0.08,12137,19451,100,1,12137,1,100,0.51,34527
9,0.08,12137,19451,100,1,12137,1,100,0.51,44873
10,0.08,12137,19451,100,1,12137,1,100,0.51,30108
11,0.08,12137,19451,100,1,12137,1,100,0.51,29557
12,0.08,12137,19451,100,1,12137,1,100,0.51,45402
13,0.08,12137,19451,100,1,12137,1,100,0.51,35443
14,0.08,12137,19451,100,1,12137,1,100,0.51,44547
15,0.08,12137,19451,100,1,12137,1,100,0.51,45894
16,0.08,12137,19451,100,1,12137,1,100,0.51,46055
17,0.08,12137,19451,100,1,12137,1,100,0.51,29011
18,0.08,12137,19451,100,1,12137,1,100,0.51,33626
19,0.08,12137,19451,100,1,12137,1,100,0.51,32133
20,0.08,12137,19451,100,1,12137,1,100,0.51,28627
21,0.08,12137,19451,100,1,12137,1,100,0.51,35885
22,0.08,12128,19580,100,0.999258466,12137,1,100,0.51,33757
23,0.08,12128,19580,100,0.999258466,12137,1,100,0.51,44960
24,0.08,12137,19451,100,1,12137,1,100,0.51,30372
25,0.08,12137,19451,100,1,12137,1,100,0.51,34334
26,0.08,12137,19451,100,1,12137,1,100,0.51,33924
27,0.08,12137,19451,100,1,12137,1,100,0.51,31841
28,0.08,12137,19451,100,1,12137,1,100,0.51,37927
29,0.08,12137,19451,100,1,12137,1,100,0.51,50995
30,0.08,12137,19451,100,1,12137,1,100,0.51,35848
