"","v","w","x"
"1",42,819,0
"2",120,475,1
"3",60,1170,0
"4",216,855,1
"5",192,760,1
"6",30,585,0
"7",144,570,1
"8",72,285,1
"9",24,468,0
"10",96,380,1
"11",30,585,0
"12",24,95,1
"13",168,665,1
"14",168,665,1
"15",54,1053,0
"16",42,819,0
"17",72,285,0
"18",72,285,0
"19",240,950,0
"20",24,95,0
"21",18,351,0
"22",72,285,0
"23",96,380,0
"24",12,234,0
"25",60,1170,0
"26",48,190,1
"27",120,475,1
"28",54,1053,0
"29",48,936,0
"30",30,585,0
"31",24,468,0
"32",120,475,1
"33",144,570,1
"34",24,468,0
"35",48,936,0
"36",120,475,1
"37",24,468,0
"38",168,665,1
"39",36,702,0
"40",48,190,1
"41",30,585,0
"42",30,585,0
"43",48,936,0
"44",144,570,1
"45",192,760,1
"46",54,1053,0
"47",144,570,0
"48",240,950,1
"49",60,1170,0
"50",192,760,1
"51",60,1170,0
"52",240,950,1
"53",48,190,1
"54",192,760,1
"55",120,475,0
"56",30,585,0
"57",120,475,1
"58",216,855,1
"59",36,702,0
"60",192,760,1
"61",216,855,1
"62",72,285,1
"63",48,936,0
"64",192,760,1
"65",48,190,0
"66",36,702,0
"67",216,855,1
"68",216,855,1
"69",48,190,1
"70",240,950,1
"71",12,234,0
"72",36,702,0
"73",6,117,0
"74",48,190,1
"75",6,117,0
"76",12,234,0
"77",48,936,0
"78",48,190,1
"79",144,570,1
"80",12,234,0
"81",18,351,0
"82",96,380,1
"83",240,950,1
"84",120,475,1
"85",30,585,0
"86",6,117,0
"87",60,1170,0
"88",6,117,0
"89",168,665,1
"90",60,1170,0
"91",24,95,0
"92",24,95,0
"93",6,117,0
"94",48,190,0
"95",54,1053,0
"96",42,819,0
"97",12,234,0
"98",24,468,0
"99",12,234,0
"100",48,936,0
